id,user_id,amount,type,category,description,receipt_url,source,transacted_at,created_at
550e8400-e29b-4000-a000-000000000001,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,70000,expense,housing,1月家賃,,dashboard,2026-01-01,2026-01-01 09:00:00+00
550e8400-e29b-4000-a000-000000000002,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,8500,expense,food,食料品,,dashboard,2026-01-05,2026-01-05 10:30:00+00
550e8400-e29b-4000-a000-000000000003,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,6500,expense,transport,交通費・Suica,,dashboard,2026-01-07,2026-01-07 08:00:00+00
550e8400-e29b-4000-a000-000000000004,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,9800,expense,communication,携帯・インターネット料金,,dashboard,2026-01-08,2026-01-08 09:00:00+00
550e8400-e29b-4000-a000-000000000005,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,5200,expense,food,食料品,,dashboard,2026-01-12,2026-01-12 11:00:00+00
550e8400-e29b-4000-a000-000000000006,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,4500,expense,entertainment,サブスク（動画・音楽）,,dashboard,2026-01-14,2026-01-14 09:00:00+00
550e8400-e29b-4000-a000-000000000007,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,3800,expense,food,ランチ外食,,dashboard,2026-01-15,2026-01-15 12:00:00+00
550e8400-e29b-4000-a000-000000000008,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,7200,expense,food,食料品,,dashboard,2026-01-18,2026-01-18 10:00:00+00
550e8400-e29b-4000-a000-000000000009,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,12000,expense,social,新年会,,dashboard,2026-01-20,2026-01-20 19:00:00+00
550e8400-e29b-4000-a000-000000000010,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,3200,expense,transport,交通費,,dashboard,2026-01-22,2026-01-22 08:00:00+00
550e8400-e29b-4000-a000-000000000011,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,250000,income,salary,1月給与,,dashboard,2026-01-25,2026-01-25 09:00:00+00
550e8400-e29b-4000-a000-000000000012,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,6300,expense,food,食料品,,dashboard,2026-01-25,2026-01-25 17:00:00+00
550e8400-e29b-4000-a000-000000000013,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,8000,expense,clothing,セール品購入,,dashboard,2026-01-27,2026-01-27 14:00:00+00
550e8400-e29b-4000-a000-000000000014,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,5600,expense,food,食料品,,dashboard,2026-01-29,2026-01-29 10:00:00+00
550e8400-e29b-4000-a000-000000000015,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,3500,expense,other,雑費・消耗品,,dashboard,2026-01-30,2026-01-30 11:00:00+00
550e8400-e29b-4000-a000-000000000016,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,70000,expense,housing,2月家賃,,dashboard,2026-02-01,2026-02-01 09:00:00+00
550e8400-e29b-4000-a000-000000000017,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,7800,expense,food,食料品,,dashboard,2026-02-03,2026-02-03 11:00:00+00
550e8400-e29b-4000-a000-000000000018,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,6500,expense,transport,交通費・Suica,,dashboard,2026-02-06,2026-02-06 08:00:00+00
550e8400-e29b-4000-a000-000000000019,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,6000,expense,entertainment,映画・デート,,dashboard,2026-02-08,2026-02-08 18:00:00+00
550e8400-e29b-4000-a000-000000000020,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,8200,expense,food,食料品,,dashboard,2026-02-10,2026-02-10 10:00:00+00
550e8400-e29b-4000-a000-000000000021,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,9800,expense,communication,携帯・インターネット料金,,dashboard,2026-02-12,2026-02-12 09:00:00+00
550e8400-e29b-4000-a000-000000000022,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,8500,expense,social,バレンタインデーディナー,,dashboard,2026-02-14,2026-02-14 19:00:00+00
550e8400-e29b-4000-a000-000000000023,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,6500,expense,food,食料品,,dashboard,2026-02-17,2026-02-17 11:00:00+00
550e8400-e29b-4000-a000-000000000024,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,12500,expense,clothing,春服購入,,dashboard,2026-02-20,2026-02-20 14:00:00+00
550e8400-e29b-4000-a000-000000000025,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,4200,expense,transport,交通費,,dashboard,2026-02-22,2026-02-22 08:00:00+00
550e8400-e29b-4000-a000-000000000026,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,7200,expense,food,食料品,,dashboard,2026-02-24,2026-02-24 11:00:00+00
550e8400-e29b-4000-a000-000000000027,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,250000,income,salary,2月給与,,dashboard,2026-02-25,2026-02-25 09:00:00+00
550e8400-e29b-4000-a000-000000000028,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,5000,expense,entertainment,友人と映画鑑賞,,dashboard,2026-02-25,2026-02-25 15:00:00+00
550e8400-e29b-4000-a000-000000000029,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,2500,expense,medical,薬代,,dashboard,2026-02-27,2026-02-27 12:00:00+00
550e8400-e29b-4000-a000-000000000030,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,4200,expense,other,雑費・消耗品,,dashboard,2026-02-28,2026-02-28 11:00:00+00
550e8400-e29b-4000-a000-000000000031,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,70000,expense,housing,3月家賃,,dashboard,2026-03-01,2026-03-01 09:00:00+00
550e8400-e29b-4000-a000-000000000032,9be9371d-99df-4087-b0ec-ae8fdb7bd3e5,3800,expense,food,昼食,,dashboard,2026-03-01,2026-03-01 12:00:00+00
